12b,T°C,RT/R25,R2,U2,R1
0,155.0,0.01653,165.0,0.081,10000.0
1,155.0,0.01653,165.0,0.081,10000.0
2,155.0,0.01653,165.0,0.081,10000.0
3,155.0,0.01653,165.0,0.081,10000.0
4,155.0,0.01653,165.0,0.081,10000.0
5,155.0,0.01653,165.0,0.081,10000.0
6,155.0,0.01653,165.0,0.081,10000.0
7,155.0,0.01653,165.0,0.081,10000.0
8,155.0,0.01653,165.0,0.081,10000.0
9,155.0,0.01653,165.0,0.081,10000.0
10,155.0,0.01653,165.0,0.081,10000.0
11,155.0,0.01653,165.0,0.081,10000.0
12,155.0,0.01653,165.0,0.081,10000.0
13,155.0,0.01653,165.0,0.081,10000.0
14,155.0,0.01653,165.0,0.081,10000.0
15,155.0,0.01653,165.0,0.081,10000.0
16,155.0,0.01653,165.0,0.081,10000.0
17,155.0,0.01653,165.0,0.081,10000.0
18,155.0,0.01653,165.0,0.081,10000.0
19,155.0,0.01653,165.0,0.081,10000.0
20,155.0,0.01653,165.0,0.081,10000.0
21,155.0,0.01653,165.0,0.081,10000.0
22,155.0,0.01653,165.0,0.081,10000.0
23,155.0,0.01653,165.0,0.081,10000.0
24,155.0,0.01653,165.0,0.081,10000.0
25,155.0,0.01653,165.0,0.081,10000.0
26,155.0,0.01653,165.0,0.081,10000.0
27,155.0,0.01653,165.0,0.081,10000.0
28,155.0,0.01653,165.0,0.081,10000.0
29,155.0,0.01653,165.0,0.081,10000.0
30,155.0,0.01653,165.0,0.081,10000.0
31,155.0,0.01653,165.0,0.081,10000.0
32,155.0,0.01653,165.0,0.081,10000.0
33,155.0,0.01653,165.0,0.081,10000.0
34,155.0,0.01653,165.0,0.081,10000.0
35,155.0,0.01653,165.0,0.081,10000.0
36,155.0,0.01653,165.0,0.081,10000.0
37,155.0,0.01653,165.0,0.081,10000.0
38,155.0,0.01653,165.0,0.081,10000.0
39,155.0,0.01653,165.0,0.081,10000.0
40,155.0,0.01653,165.0,0.081,10000.0
41,155.0,0.01653,165.0,0.081,10000.0
42,155.0,0.01653,165.0,0.081,10000.0
43,155.0,0.01653,165.0,0.081,10000.0
44,155.0,0.01653,165.0,0.081,10000.0
45,155.0,0.01653,165.0,0.081,10000.0
46,155.0,0.01653,165.0,0.081,10000.0
47,155.0,0.01653,165.0,0.081,10000.0
