12b,(Temp+55)*128
0,26880
1,26880
2,26880
3,26880
4,26880
5,26880
6,26880
7,26880
8,26880
9,26880
10,26880
11,26880
12,26880
13,26880
14,26880
15,26880
16,26880
17,26880
18,26880
19,26880
20,26880
21,26880
22,26880
23,26880
24,26880
25,26880
26,26880
27,26880
28,26880
29,26880
30,26880
31,26880
32,26880
33,26880
34,26880
35,26880
36,26880
37,26880
38,26880
39,26880
40,26880
41,26880
42,26880
43,26880
44,26880
45,26880
46,26880
47,26880
48,26880
49,26880
50,26880
51,26880
52,26880
53,26880
54,26880
55,26880
56,26880
57,26880
58,26880
59,26880
60,26880
61,26880
62,26880
63,26880
64,26880
65,26880
66,26880
67,26880
68,26796
69,26713
70,26631
71,26551
72,26471
73,26393
74,26316
75,26240
76,26164
77,26091
78,26018
79,25946
80,25875
81,25806
82,25736
83,25668
84,25600
85,25532
86,25465
87,25399
88,25334
89,25269
90,25205
91,25142
92,25080
93,25019
94,24960
95,24901
96,24843
97,24787
98,24732
99,24677
100,24624
101,24572
102,24520
103,24469
104,24419
105,24369
106,24320
107,24271
108,24223
109,24175
110,24128
111,24082
112,24036
113,23991
114,23946
115,23901
116,23857
117,23812
118,23768
119,23724
120,23680
121,23635
122,23591
123,23547
124,23504
125,23460
126,23416
127,23373
128,23329
129,23287
130,23244
131,23202
132,23161
133,23120
134,23079
135,23040
136,23000
137,22961
138,22923
139,22885
140,22847
141,22810
142,22774
143,22738
144,22702
145,22667
146,22633
147,22598
148,22564
149,22531
150,22497
151,22464
152,22432
153,22400
154,22368
155,22336
156,22305
157,22274
158,22243
159,22213
160,22183
161,22154
162,22125
163,22096
164,22068
165,22039
166,22011
167,21983
168,21955
169,21927
170,21899
171,21871
172,21843
173,21815
174,21787
175,21760
176,21732
177,21704
178,21677
179,21649
180,21621
181,21594
182,21567
183,21539
184,21512
185,21485
186,21457
187,21430
188,21403
189,21376
190,21350
191,21323
192,21297
193,21271
194,21245
195,21220
196,21194
197,21169
198,21144
199,21120
200,21095
201,21071
202,21047
203,21023
204,20999
205,20976
206,20952
207,20929
208,20906
209,20884
210,20861
211,20839
212,20817
213,20796
214,20774
215,20753
216,20731
217,20710
218,20688
219,20667
220,20646
221,20625
222,20604
223,20583
224,20562
225,20541
226,20521
227,20500
228,20480
229,20459
230,20439
231,20418
232,20398
233,20378
234,20357
235,20337
236,20317
237,20297
238,20277
239,20258
240,20238
241,20218
242,20199
243,20179
244,20160
245,20140
246,20121
247,20101
248,20082
249,20063
250,20044
251,20025
252,20006
253,19987
254,19969
255,19950
256,19931
257,19913
258,19894
259,19876
260,19858
261,19840
262,19821
263,19803
264,19785
265,19767
266,19749
267,19732
268,19714
269,19696
270,19679
271,19661
272,19644
273,19626
274,19609
275,19592
276,19575
277,19558
278,19541
279,19524
280,19507
281,19490
282,19474
283,19457
284,19440
285,19424
286,19407
287,19391
288,19375
289,19358
290,19342
291,19326
292,19310
293,19294
294,19278
295,19262
296,19246
297,19231
298,19215
299,19200
300,19184
301,19168
302,19153
303,19138
304,19122
305,19107
306,19092
307,19077
308,19062
309,19047
310,19032
311,19017
312,19003
313,18988
314,18973
315,18959
316,18944
317,18930
318,18915
319,18901
320,18887
321,18873
322,18859
323,18845
324,18831
325,18817
326,18803
327,18789
328,18775
329,18761
330,18747
331,18734
332,18720
333,18706
334,18693
335,18679
336,18666
337,18652
338,18639
339,18626
340,18612
341,18599
342,18586
343,18573
344,18560
345,18546
346,18533
347,18520
348,18507
349,18494
350,18482
351,18469
352,18456
353,18443
354,18430
355,18418
356,18405
357,18393
358,18380
359,18368
360,18355
361,18343
362,18330
363,18318
364,18306
365,18294
366,18281
367,18269
368,18257
369,18245
370,18233
371,18221
372,18209
373,18197
374,18185
375,18174
376,18162
377,18150
378,18138
379,18126
380,18115
381,18103
382,18091
383,18080
384,18068
385,18056
386,18045
387,18033
388,18022
389,18010
390,17999
391,17988
392,17976
393,17965
394,17953
395,17942
396,17931
397,17920
398,17908
